measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Décès,196,Afrique du Sud,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,617030.6774774821,628386.1839361058,605071.162510234
1,Décès,214,Nigeria,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,1756485.0491586744,1920095.7077362514,1601672.7649092684
1,Décès,6,La Chine,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,9804384.100211773,10544710.208619118,9112770.237263665
1,Décès,11,Indonésie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,1611682.6950785657,1768567.1799374542,1450978.5531492284
1,Décès,95,Royaume-Uni,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,558680.9411215266,560950.2933799666,556607.3911126015
1,Décès,81,Allemagne,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,850495.4673720693,853812.7618488685,847481.5616497074
1,Décès,163,Inde,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,8912732.437103668,9271710.278994277,8574639.244396675
1,Décès,135,Brésil,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,1208148.0932227336,1224539.4598865577,1192855.8481967056
1,Décès,102,États Unis,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,2501810.468441544,2506732.7179434453,2497098.804491318
1,Décès,196,Afrique du Sud,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,658174.9327965346,674971.732194123,641584.0986083224
1,Décès,214,Nigeria,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,1766853.7042131538,1966932.588246755,1588581.837567301
1,Décès,163,Inde,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,10666928.019293437,11265944.071006753,10088507.879760498
1,Décès,102,États Unis,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,3357386.1577646206,3363965.8823191947,3350044.1839470905
1,Décès,135,Brésil,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,1586751.1704567242,1600562.4377636244,1574868.6872451152
1,Décès,95,Royaume-Uni,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,677928.0503153516,681300.8212845406,674639.9266889226
1,Décès,81,Allemagne,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,981095.6534090586,985110.860067478,977642.2749081589
1,Décès,6,La Chine,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,11430553.14828176,13130924.535047872,9918412.741720181
1,Décès,11,Indonésie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,1939553.185496646,2217926.1197759476,1656233.076720664
4,AVP (Années de Vie Perdues),102,États Unis,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,53336042.10215229,53455908.49904691,53216220.462024964
4,AVP (Années de Vie Perdues),135,Brésil,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,38528993.12405842,39866858.246485986,37284941.45131856
4,AVP (Années de Vie Perdues),163,Inde,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,357292373.9183614,379776881.0979787,336601370.1968865
4,AVP (Années de Vie Perdues),6,La Chine,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,245923972.42529184,284517868.9647899,210956774.74688604
4,AVP (Années de Vie Perdues),6,La Chine,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,239160281.38065246,258059156.76544005,222038152.2396929
4,AVP (Années de Vie Perdues),163,Inde,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,339131544.1002614,361504217.28814024,319211711.68597955
4,AVP (Années de Vie Perdues),135,Brésil,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,43263768.592280656,44164307.25280136,42468808.667405754
4,AVP (Années de Vie Perdues),102,États Unis,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,70966086.35746534,71122828.88534503,70805296.19151892
4,AVP (Années de Vie Perdues),11,Indonésie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,57843865.17056929,64231226.5992516,53010886.529876515
4,AVP (Années de Vie Perdues),95,Royaume-Uni,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,10045408.361929968,10089579.909648603,10003510.088741
4,AVP (Années de Vie Perdues),11,Indonésie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,61378399.46590357,70085139.04221903,53392541.396330446
4,AVP (Années de Vie Perdues),81,Allemagne,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,15032214.085009519,15095922.989348305,14972355.81712689
4,AVP (Années de Vie Perdues),95,Royaume-Uni,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,11712246.711296123,11779297.362924296,11648617.431934152
4,AVP (Années de Vie Perdues),196,Afrique du Sud,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,26519541.809386812,27360873.38880733,25683919.19985107
4,AVP (Années de Vie Perdues),81,Allemagne,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,16144380.499946585,16214098.679938689,16079266.73386919
4,AVP (Années de Vie Perdues),214,Nigeria,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,117911508.23205462,128108425.71649465,107772656.76476704
4,AVP (Années de Vie Perdues),196,Afrique du Sud,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,23673292.158719886,24578236.1687213,22836534.059549257
4,AVP (Années de Vie Perdues),214,Nigeria,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,107137317.41542521,121901077.55894153,94380631.51528668
