measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,4749,England,3,Both,157,25+ years,294,All causes,1,Number,2014,468805.62655746925,470784.62881931657,466823.83609731076
1,Deaths,4749,England,3,Both,157,25+ years,294,All causes,1,Number,2016,486254.6999875872,488265.69244221185,484274.0741280927
1,Deaths,4636,Wales,3,Both,157,25+ years,294,All causes,1,Number,2014,31856.907328871086,32250.72960282864,31444.53132359508
1,Deaths,4749,England,3,Both,157,25+ years,294,All causes,1,Number,2015,480745.84180729126,482718.6506177682,478692.9552580028
1,Deaths,4749,England,3,Both,157,25+ years,294,All causes,1,Number,2019,489765.08613295556,492451.86275144364,487465.33285075316
1,Deaths,4749,England,3,Both,157,25+ years,294,All causes,1,Number,2017,488351.42304126616,490330.7800668555,486201.65997858875
1,Deaths,4749,England,3,Both,157,25+ years,294,All causes,1,Number,2018,493937.52406923374,495983.2241482145,491778.1317744693
1,Deaths,4749,England,3,Both,157,25+ years,294,All causes,1,Number,2021,562066.5482191485,565734.9783467938,558643.0866379535
1,Deaths,4749,England,3,Both,157,25+ years,294,All causes,1,Number,2020,555763.6033556825,558544.4048840601,552927.0560032655
1,Deaths,4636,Wales,3,Both,157,25+ years,294,All causes,1,Number,2015,32321.10651884678,32722.249700060365,31929.116846236135
1,Deaths,4636,Wales,3,Both,157,25+ years,294,All causes,1,Number,2017,32700.13737260055,33105.95873323777,32268.780803303885
1,Deaths,4636,Wales,3,Both,157,25+ years,294,All causes,1,Number,2016,32505.235105417614,32883.66195304441,32094.049010553095
1,Deaths,4636,Wales,3,Both,157,25+ years,294,All causes,1,Number,2018,33217.87100820134,33658.51763416382,32783.620700850224
1,Deaths,4636,Wales,3,Both,157,25+ years,294,All causes,1,Number,2021,35872.441563022876,36407.06404941301,35338.04638812901
1,Deaths,4636,Wales,3,Both,157,25+ years,294,All causes,1,Number,2019,32835.415778316674,33331.80565154332,32377.396014007478
1,Deaths,4636,Wales,3,Both,157,25+ years,294,All causes,1,Number,2020,36534.31961976502,37039.31448079987,36045.541123923824
4,YLLs (Years of Life Lost),4749,England,3,Both,157,25+ years,294,All causes,1,Number,2015,7971187.236701624,8007843.790566383,7933344.914870741
4,YLLs (Years of Life Lost),4749,England,3,Both,157,25+ years,294,All causes,1,Number,2014,7804427.433346267,7839811.16919535,7767967.820033441
4,YLLs (Years of Life Lost),4749,England,3,Both,157,25+ years,294,All causes,1,Number,2017,8102993.228716727,8140308.966344331,8063907.2722652955
4,YLLs (Years of Life Lost),4636,Wales,3,Both,157,25+ years,294,All causes,1,Number,2015,544627.639200297,551956.7889351196,537624.755200274
4,YLLs (Years of Life Lost),4749,England,3,Both,157,25+ years,294,All causes,1,Number,2016,8081268.20947124,8119742.636944535,8047269.431421166
4,YLLs (Years of Life Lost),4749,England,3,Both,157,25+ years,294,All causes,1,Number,2018,8206559.876337655,8243660.068410045,8165516.105633716
4,YLLs (Years of Life Lost),4636,Wales,3,Both,157,25+ years,294,All causes,1,Number,2014,535942.0694414272,543083.5197179868,528245.7229900172
4,YLLs (Years of Life Lost),4749,England,3,Both,157,25+ years,294,All causes,1,Number,2019,8138148.201454459,8186158.238834959,8095938.570835227
4,YLLs (Years of Life Lost),4749,England,3,Both,157,25+ years,294,All causes,1,Number,2020,9238236.503438057,9289973.909323316,9185672.835608717
4,YLLs (Years of Life Lost),4749,England,3,Both,157,25+ years,294,All causes,1,Number,2021,9465728.580791041,9534329.90128357,9401620.625263853
4,YLLs (Years of Life Lost),4636,Wales,3,Both,157,25+ years,294,All causes,1,Number,2016,549018.5665738988,556160.1341068681,541592.1468422131
4,YLLs (Years of Life Lost),4636,Wales,3,Both,157,25+ years,294,All causes,1,Number,2017,551392.0815755655,558837.732473171,543513.9160278153
4,YLLs (Years of Life Lost),4636,Wales,3,Both,157,25+ years,294,All causes,1,Number,2018,559290.9236049198,567488.9420312591,551004.8907747937
4,YLLs (Years of Life Lost),4636,Wales,3,Both,157,25+ years,294,All causes,1,Number,2019,553535.3738541219,562748.4519228365,545175.4311850326
4,YLLs (Years of Life Lost),4636,Wales,3,Both,157,25+ years,294,All causes,1,Number,2020,612320.7793901502,621946.6339373082,603160.9993212097
4,YLLs (Years of Life Lost),4636,Wales,3,Both,157,25+ years,294,All causes,1,Number,2021,605114.4478729771,615116.9102142708,595364.1800935451
