measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,4749,England,3,Both,22,All ages,294,All causes,1,Number,2014,474340.6685186005,476298.49833238625,472314.22275575966
1,Deaths,4636,Wales,3,Both,22,All ages,294,All causes,1,Number,2014,32150.358237969023,32541.885427370493,31742.81124003842
1,Deaths,4749,England,3,Both,22,All ages,294,All causes,1,Number,2015,486268.74648273183,488219.42552460026,484214.30978608155
1,Deaths,4749,England,3,Both,22,All ages,294,All causes,1,Number,2016,491676.63586309407,493714.7987942623,489659.6287029035
1,Deaths,4749,England,3,Both,22,All ages,294,All causes,1,Number,2017,493647.44655292865,495648.7924570023,491490.01749804325
1,Deaths,4636,Wales,3,Both,22,All ages,294,All causes,1,Number,2015,32617.377386627635,33018.94815097484,32218.842852531874
1,Deaths,4749,England,3,Both,22,All ages,294,All causes,1,Number,2019,494941.2397979915,497696.43320062215,492616.94831752946
1,Deaths,4749,England,3,Both,22,All ages,294,All causes,1,Number,2018,499046.11429552286,501058.90706528636,496859.43147677445
1,Deaths,4749,England,3,Both,22,All ages,294,All causes,1,Number,2021,567266.0938380657,571029.424890343,563772.4709373057
1,Deaths,4749,England,3,Both,22,All ages,294,All causes,1,Number,2020,560214.6160917502,563047.5908138441,557323.4535214056
1,Deaths,4636,Wales,3,Both,22,All ages,294,All causes,1,Number,2016,32803.754303139474,33181.63822719206,32396.333982793574
1,Deaths,4636,Wales,3,Both,22,All ages,294,All causes,1,Number,2017,32993.416265499895,33392.68672057757,32561.449186879643
1,Deaths,4636,Wales,3,Both,22,All ages,294,All causes,1,Number,2018,33498.7212512722,33935.605956166546,33060.22192394297
1,Deaths,4636,Wales,3,Both,22,All ages,294,All causes,1,Number,2019,33107.77983250885,33602.68940074267,32643.680337799356
1,Deaths,4636,Wales,3,Both,22,All ages,294,All causes,1,Number,2021,36137.852376382056,36661.872279507625,35603.02879547677
1,Deaths,4636,Wales,3,Both,22,All ages,294,All causes,1,Number,2020,36783.79827467164,37290.88908495242,36295.406523145604
4,YLLs (Years of Life Lost),4749,England,3,Both,22,All ages,294,All causes,1,Number,2015,8420137.37685056,8457908.62047873,8380360.669570684
4,YLLs (Years of Life Lost),4749,England,3,Both,22,All ages,294,All causes,1,Number,2014,8254348.488955785,8292995.604395804,8214263.8243714
4,YLLs (Years of Life Lost),4749,England,3,Both,22,All ages,294,All causes,1,Number,2017,8533421.568192052,8570981.623319857,8493644.10014949
4,YLLs (Years of Life Lost),4749,England,3,Both,22,All ages,294,All causes,1,Number,2016,8522117.226784399,8561536.817571659,8481060.937861538
4,YLLs (Years of Life Lost),4749,England,3,Both,22,All ages,294,All causes,1,Number,2018,8619262.585223718,8658282.330066442,8576440.379423698
4,YLLs (Years of Life Lost),4749,England,3,Both,22,All ages,294,All causes,1,Number,2019,8556888.678877959,8605299.363880318,8510558.392022638
4,YLLs (Years of Life Lost),4636,Wales,3,Both,22,All ages,294,All causes,1,Number,2014,559455.7126703209,566385.789513629,552017.0080813529
4,YLLs (Years of Life Lost),4636,Wales,3,Both,22,All ages,294,All causes,1,Number,2015,568262.7046937452,575968.6064865636,560879.6147095667
4,YLLs (Years of Life Lost),4749,England,3,Both,22,All ages,294,All causes,1,Number,2020,9597066.62964379,9653002.267059367,9543480.752566049
4,YLLs (Years of Life Lost),4749,England,3,Both,22,All ages,294,All causes,1,Number,2021,9882571.66385771,9959932.928558012,9812794.029730633
4,YLLs (Years of Life Lost),4636,Wales,3,Both,22,All ages,294,All causes,1,Number,2016,572733.1257365837,580129.4845485948,565047.2955335695
4,YLLs (Years of Life Lost),4636,Wales,3,Both,22,All ages,294,All causes,1,Number,2017,574704.563005954,582389.8248261772,566872.4170885008
4,YLLs (Years of Life Lost),4636,Wales,3,Both,22,All ages,294,All causes,1,Number,2018,581596.8417254114,589895.4485651768,573282.1847636236
4,YLLs (Years of Life Lost),4636,Wales,3,Both,22,All ages,294,All causes,1,Number,2019,575164.6486948767,584588.8888083888,566047.8672342084
4,YLLs (Years of Life Lost),4636,Wales,3,Both,22,All ages,294,All causes,1,Number,2020,632111.862225513,641490.8049508425,623069.1376511462
4,YLLs (Years of Life Lost),4636,Wales,3,Both,22,All ages,294,All causes,1,Number,2021,626203.4789500583,636596.4270073728,616120.040759646
