measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Décès,46,Croatie (Hrvatska),3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,51178.31076306355,52104.01629025654,50238.44145879191
1,Décès,79,Finlande,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,50575.105988814714,51245.35201431128,49865.06756310796
1,Décès,130,Mexique,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,589585.2708015993,597572.0786184381,582120.0513450071
1,Décès,163,Inde,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,8912732.437103668,9271710.278994277,8574639.244396675
1,Décès,97,Argentine,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,316828.63930703024,318199.1597082898,315432.98192124156
1,Décès,47,République tchèque,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,107453.46009976092,109369.33425112185,105606.95040958666
1,Décès,51,Pologne,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,375760.29940152075,377989.99976259295,373405.8817139512
1,Décès,135,Brésil,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,1208148.0932227336,1224539.4598865577,1192855.8481967056
1,Décès,95,Royaume-Uni,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,558680.9411215266,560950.2933799666,556607.3911126015
1,Décès,55,Slovénie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,18596.723577463927,19127.531882653835,18048.643020723517
1,Décès,80,France,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,537134.087971696,539155.5943523857,534920.2917532058
1,Décès,60,Lithuanie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,43249.03764552141,44127.93594489829,42387.50416414327
1,Décès,88,Malte,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,3285.1172650014864,3383.705989079179,3197.157263081603
1,Décès,48,Hongrie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,128841.49519976566,130151.79239675117,127543.4149567318
1,Décès,93,Suède,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,98451.83155372852,99302.18072086589,97640.5737421736
1,Décès,46,Croatie (Hrvatska),3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,56962.61289237023,58737.412395773965,55357.61137143003
1,Décès,130,Mexique,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,1085719.5744598745,1093403.754971495,1078784.962398456
1,Décès,79,Finlande,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,55144.717072778985,55863.23574917634,54333.69596482986
1,Décès,163,Inde,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,10666928.019293437,11265944.071006753,10088507.879760498
1,Décès,60,Lithuanie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,41043.552787367866,41703.61880395745,40371.40155304014
1,Décès,81,Allemagne,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,850495.4673720693,853812.7618488685,847481.5616497074
1,Décès,97,Argentine,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,368955.6116231437,371378.6625831136,366479.00024498266
1,Décès,93,Suède,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,90672.3877524961,91327.8287335202,89977.83039959313
1,Décès,135,Brésil,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,1586751.1704567242,1600562.4377636244,1574868.6872451152
1,Décès,68,Corée du Sud,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,256637.92282678094,257977.56581324612,255263.12932503267
1,Décès,51,Pologne,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,476676.2710316022,479729.6568451897,473638.960379791
1,Décès,88,Malte,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,3716.996223796515,3911.071114004328,3534.313816008648
1,Décès,55,Slovénie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,23908.740976377176,24693.3885724284,23137.16149414671
1,Décès,67,Japon,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,1248227.6498190784,1253305.0233319309,1243772.4270431513
1,Décès,84,Irlande,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,28488.688182437945,28829.910277842126,28093.763535831626
1,Décès,82,Grèce,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,109508.5339969782,110387.03094256307,108643.0730034019
1,Décès,52,Roumanie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,249589.31217629675,251654.8104724119,247509.15893473354
1,Décès,71,Australie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,145182.07781743418,146096.52864540907,144197.26209488866
1,Décès,101,Canada,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,241230.1180826555,242366.08990199008,240065.73756968067
1,Décès,6,La Chine,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,9804384.100211773,10544710.208619118,9112770.237263665
1,Décès,54,Slovaquie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,53397.61311720485,54229.27100733098,52606.346935162015
1,Décès,87,Luxembourg,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,3739.0249014486326,3876.207138902824,3600.9705524255946
1,Décès,152,Arabie Saoudite,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,110057.19307961233,118533.5386012936,102300.72558334128
1,Décès,86,Italie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,591609.9128857343,593917.2915120176,589201.4397703091
1,Décès,58,Estonie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,15429.917223933266,15906.182331541884,15005.638571436277
1,Décès,89,Pays-Bas,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,136423.09904938308,137685.88408100238,135352.77211932847
1,Décès,45,Bulgarie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,125423.60082197706,128552.83592086393,122023.73588549806
1,Décès,76,Belgique,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,105058.66407611879,105841.05085553024,104219.92723998743
1,Décès,11,Indonésie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,1611682.6950785657,1768567.1799374542,1450978.5531492284
1,Décès,155,Turquie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,413294.66715635365,443957.469860741,380549.50356175005
1,Décès,75,Autriche,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,77162.98646009988,77798.65195473825,76504.7516842966
1,Décès,91,Portugal,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,104763.99962482788,105738.6087168925,103862.7286458224
1,Décès,62,Russie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,1927695.7903425456,1932174.9920591838,1923554.5934708938
1,Décès,92,Espagne,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,387658.97045720025,389445.679467151,385760.0912627903
1,Décès,59,Lettonie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,28961.67177323189,29607.498000680745,28338.207090960786
1,Décès,62,Russie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,2099076.528541737,2104389.171511365,2093525.9034051448
1,Décès,77,Chypre,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,8693.857772448795,9438.637560462766,7989.460838364785
1,Décès,95,Royaume-Uni,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,677928.0503153516,681300.8212845406,674639.9266889226
1,Décès,81,Allemagne,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,981095.6534090586,985110.860067478,977642.2749081589
1,Décès,45,Bulgarie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,143587.28635916527,147263.29409003115,139664.77800692304
1,Décès,78,Danemark,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,54663.01872157668,55339.55138993581,53988.53340168964
1,Décès,48,Hongrie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,141016.3998972753,143308.23115163672,138674.6186075175
1,Décès,77,Chypre,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,7767.306820896809,8233.53179865156,7306.650926443061
1,Décès,80,France,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,654171.5466839084,657335.2481571321,650848.7242046029
1,Décès,47,République tchèque,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,130247.65495697466,132071.24641674085,128477.19723131307
1,Décès,78,Danemark,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,52514.280044281244,53095.78323347853,51924.10987560244
1,Décès,86,Italie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,740077.8776845948,743415.0683996862,736865.2993405825
1,Décès,67,Japon,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,1368057.6573333764,1373755.045150604,1362972.1015788144
1,Décès,82,Grèce,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,131789.31316067243,133116.33250837654,130546.47315105917
1,Décès,54,Slovaquie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,59685.69440043639,60667.78085594661,58695.4841349608
1,Décès,52,Roumanie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,296925.3973570965,299472.08927728585,294362.0933473742
1,Décès,84,Irlande,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,32109.550251703142,32615.96503411976,31592.43575558498
1,Décès,68,Corée du Sud,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,301688.59312782215,303799.54309517413,299798.1174431423
1,Décès,71,Australie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,161385.82215910242,162928.84028585584,159825.8167687597
1,Décès,101,Canada,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,313183.75609162234,315708.67557726376,310771.79769417166
1,Décès,152,Arabie Saoudite,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,154553.4418964893,184200.1312389046,129906.40450108338
1,Décès,58,Estonie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,15609.398468375368,16133.405868663805,15134.263000587325
1,Décès,6,La Chine,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,11430553.14828176,13130924.535047872,9918412.741720181
1,Décès,87,Luxembourg,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,4668.5899432561555,4872.760925238601,4487.4507100083665
1,Décès,75,Autriche,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,91300.75974093351,92440.16180417249,90213.22110923177
1,Décès,76,Belgique,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,127623.88051739277,128770.33974121594,126460.68017423032
1,Décès,59,Lettonie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,28862.494005959026,29832.918099347662,27863.097116204564
1,Décès,89,Pays-Bas,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,168416.03971882846,170145.02824172477,166482.02648898188
1,Décès,155,Turquie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,625688.0936267782,700737.8387872744,554429.0310409996
1,Décès,11,Indonésie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,1939553.185496646,2217926.1197759476,1656233.076720664
1,Décès,91,Portugal,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,122156.23917603122,123299.48517316619,120968.34780085538
1,Décès,92,Espagne,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,486572.37424526416,489222.3884005776,483751.9052215305
4,AVP (Années de Vie Perdues),51,Pologne,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,8186089.518307127,8236253.497584683,8135601.8668692075
4,AVP (Années de Vie Perdues),135,Brésil,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,38528993.12405842,39866858.246485986,37284941.45131856
4,AVP (Années de Vie Perdues),67,Japon,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,21051060.60927075,21147429.194279093,20962183.613260686
4,AVP (Années de Vie Perdues),88,Malte,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,64794.12575642521,68658.63660388652,61252.449214286324
4,AVP (Années de Vie Perdues),55,Slovénie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,395201.53142992785,409297.79240753764,381051.2249171454
4,AVP (Années de Vie Perdues),55,Slovénie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,355630.58605003956,365793.379217775,344938.27358061186
4,AVP (Années de Vie Perdues),84,Irlande,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,569953.0687011024,577670.9202158294,561350.460625532
4,AVP (Années de Vie Perdues),68,Corée du Sud,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,5859627.653439776,5892035.716439461,5825934.946678067
4,AVP (Années de Vie Perdues),88,Malte,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,61537.68113093237,63620.514920772046,59683.39857552172
4,AVP (Années de Vie Perdues),101,Canada,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,4670135.874128796,4696907.332038532,4641271.68183547
4,AVP (Années de Vie Perdues),46,Croatie (Hrvatska),3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,1004094.1428848536,1036598.0500080773,974286.237683699
4,AVP (Années de Vie Perdues),46,Croatie (Hrvatska),3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,991744.7048308611,1010221.9872952271,973270.3211717735
4,AVP (Années de Vie Perdues),130,Mexique,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,31149446.71870126,31870248.734609757,30566249.879508656
4,AVP (Années de Vie Perdues),93,Suède,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,1526619.4121003505,1541386.9266556583,1513301.7789368427
4,AVP (Années de Vie Perdues),130,Mexique,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,19537158.41636508,20289217.590837125,18869791.454854473
4,AVP (Années de Vie Perdues),79,Finlande,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,930321.7941246218,944529.9208683085,914745.0389602453
4,AVP (Années de Vie Perdues),52,Roumanie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,5347941.842862121,5400682.149548944,5299259.851151318
4,AVP (Années de Vie Perdues),60,Lithuanie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,903374.3875068828,918671.2755577097,888526.3316949097
4,AVP (Années de Vie Perdues),60,Lithuanie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,841295.4019087559,860079.1294692025,823741.2108620703
4,AVP (Années de Vie Perdues),6,La Chine,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,239160281.38065246,258059156.76544005,222038152.2396929
4,AVP (Années de Vie Perdues),163,Inde,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,357292373.9183614,379776881.0979787,336601370.1968865
4,AVP (Années de Vie Perdues),79,Finlande,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,937190.1473949526,951878.7471850225,922888.0314439683
4,AVP (Années de Vie Perdues),163,Inde,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,339131544.1002614,361504217.28814024,319211711.68597955
4,AVP (Années de Vie Perdues),86,Italie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,9695788.13635261,9736752.06502075,9652498.163608758
4,AVP (Années de Vie Perdues),93,Suède,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,1474025.8941982524,1486303.591272563,1461978.3008306213
4,AVP (Années de Vie Perdues),51,Pologne,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,9387640.443419036,9447666.64687989,9326259.982410176
4,AVP (Années de Vie Perdues),135,Brésil,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,43263768.592280656,44164307.25280136,42468808.667405754
4,AVP (Années de Vie Perdues),97,Argentine,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,8185640.315886222,8284318.401781874,8088589.547335738
4,AVP (Années de Vie Perdues),54,Slovaquie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,1145604.7381531217,1164708.2491274592,1128661.6564703393
4,AVP (Années de Vie Perdues),54,Slovaquie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,1203309.0992183725,1225621.6729746254,1181492.5816874807
4,AVP (Années de Vie Perdues),97,Argentine,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,7573860.187657803,7619761.310426632,7529322.916516831
4,AVP (Années de Vie Perdues),89,Pays-Bas,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,2468984.6636257567,2493310.698000961,2446191.337936894
4,AVP (Années de Vie Perdues),58,Estonie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,322814.6524820141,332764.2277517324,313985.11052197125
4,AVP (Années de Vie Perdues),6,La Chine,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,245923972.42529184,284517868.9647899,210956774.74688604
4,AVP (Années de Vie Perdues),71,Australie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,2728598.1981032854,2748452.833322568,2707659.5022478877
4,AVP (Années de Vie Perdues),87,Luxembourg,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,68907.47045165974,71677.72605500068,66041.63662042584
4,AVP (Années de Vie Perdues),152,Arabie Saoudite,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,5719152.56289894,6959681.113345189,4696840.795311009
4,AVP (Années de Vie Perdues),152,Arabie Saoudite,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,4287157.176285177,4687297.890857688,3908376.3190097297
4,AVP (Années de Vie Perdues),87,Luxembourg,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,80747.05977189173,84802.45021262243,77182.40908728613
4,AVP (Années de Vie Perdues),48,Hongrie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,2677842.455148001,2707258.0468120533,2649413.6270409366
4,AVP (Années de Vie Perdues),76,Belgique,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,1896965.5981618303,1912610.7445073007,1881820.5723936926
4,AVP (Années de Vie Perdues),71,Australie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,2937707.723053183,2971126.2293660496,2900871.4050491415
4,AVP (Années de Vie Perdues),62,Russie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,50255640.53891709,50385601.572862916,50140722.06328364
4,AVP (Années de Vie Perdues),11,Indonésie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,57843865.17056929,64231226.5992516,53010886.529876515
4,AVP (Années de Vie Perdues),59,Lettonie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,554234.6609386792,573473.8088621061,534506.7633360751
4,AVP (Années de Vie Perdues),58,Estonie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,289175.753601242,299177.318019482,279841.3147073254
4,AVP (Années de Vie Perdues),59,Lettonie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,620915.4386323387,635081.5815184216,608462.3220232289
4,AVP (Années de Vie Perdues),89,Pays-Bas,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,2823745.07240224,2856501.646908113,2788992.566272859
4,AVP (Années de Vie Perdues),155,Turquie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,14353930.416501217,16096096.294593329,12688212.406789938
4,AVP (Années de Vie Perdues),77,Chypre,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,147825.03141987516,157761.98632404103,137990.2503176616
4,AVP (Années de Vie Perdues),155,Turquie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,11339879.380952988,12222834.573108442,10341755.471384656
4,AVP (Années de Vie Perdues),95,Royaume-Uni,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,10045408.361929968,10089579.909648603,10003510.088741
4,AVP (Années de Vie Perdues),75,Autriche,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,1375213.204827533,1387861.0124895296,1362348.1952220255
4,AVP (Années de Vie Perdues),91,Portugal,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,1985098.1263476904,2005931.674054312,1963327.6714452517
4,AVP (Années de Vie Perdues),76,Belgique,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,2098920.5623618644,2122276.0383706964,2076900.0985154486
4,AVP (Années de Vie Perdues),77,Chypre,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,158610.97419502333,173377.18833808554,144242.169248931
4,AVP (Années de Vie Perdues),45,Bulgarie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,2544507.125817479,2619026.490283694,2468189.516353365
4,AVP (Années de Vie Perdues),11,Indonésie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,61378399.46590357,70085139.04221903,53392541.396330446
4,AVP (Années de Vie Perdues),91,Portugal,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,1885771.3189173455,1902526.851721221,1868261.3382892574
4,AVP (Années de Vie Perdues),75,Autriche,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,1503876.2478792286,1524305.1558782053,1484195.1756962882
4,AVP (Années de Vie Perdues),78,Danemark,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,959062.1291486423,972070.7673993739,946539.1849682195
4,AVP (Années de Vie Perdues),78,Danemark,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,938584.1669937806,951781.6649114717,925184.045648874
4,AVP (Années de Vie Perdues),92,Espagne,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,7627097.894716667,7676445.639782628,7576705.595721835
4,AVP (Années de Vie Perdues),62,Russie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,48391219.014075115,48521779.620757096,48249241.734089136
4,AVP (Années de Vie Perdues),81,Allemagne,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,15032214.085009519,15095922.989348305,14972355.81712689
4,AVP (Années de Vie Perdues),92,Espagne,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,6682059.2080282755,6714975.004814628,6646499.3391601015
4,AVP (Années de Vie Perdues),95,Royaume-Uni,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,11712246.711296123,11779297.362924296,11648617.431934152
4,AVP (Années de Vie Perdues),48,Hongrie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,2719802.21212243,2770139.8762374227,2668995.2029415844
4,AVP (Années de Vie Perdues),47,République tchèque,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,2124657.9465805353,2165025.843599317,2086062.3548412654
4,AVP (Années de Vie Perdues),45,Bulgarie,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,2799581.694933125,2879327.8609455107,2712272.8111789324
4,AVP (Années de Vie Perdues),81,Allemagne,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,16144380.499946585,16214098.679938689,16079266.73386919
4,AVP (Années de Vie Perdues),82,Grèce,3,Les deux,22,Tout age,294,Toutes causes,1,#,2011,1943322.729096001,1959627.1590961851,1927631.6007479583
4,AVP (Années de Vie Perdues),68,Corée du Sud,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,5816699.483847686,5860849.609859091,5775626.538416538
4,AVP (Années de Vie Perdues),82,Grèce,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,2098480.6149593904,2122090.4847055287,2075225.3334090724
4,AVP (Années de Vie Perdues),67,Japon,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,20259711.62298818,20353653.120085508,20176392.38475441
4,AVP (Années de Vie Perdues),47,République tchèque,3,Les deux,22,Tout age,294,Toutes causes,1,#,2020,2338244.113393365,2373605.490043045,2305122.657010976
