measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,51,Poland,3,Both,22,All ages,294,All causes,1,Number,2013,383257.4410949509,385568.23755859595,381054.3769691143
1,Deaths,51,Poland,3,Both,22,All ages,294,All causes,1,Number,2011,375760.29940152075,377989.99976259295,373405.8817139512
1,Deaths,51,Poland,3,Both,22,All ages,294,All causes,1,Number,2015,389348.39978472213,391889.9555877641,386870.26971892355
1,Deaths,51,Poland,3,Both,22,All ages,294,All causes,1,Number,2012,382793.685058335,385065.59148333775,380621.62597744446
1,Deaths,51,Poland,3,Both,22,All ages,294,All causes,1,Number,2014,378266.767226019,380698.02390434826,375816.5261541125
1,Deaths,51,Poland,3,Both,22,All ages,294,All causes,1,Number,2016,390273.01707599283,393029.5129188708,387691.67627976416
1,Deaths,51,Poland,3,Both,22,All ages,294,All causes,1,Number,2018,411284.21588047204,413890.3410801359,408637.9428133619
1,Deaths,51,Poland,3,Both,22,All ages,294,All causes,1,Number,2017,399919.3340465528,402606.3115215487,397314.06087710254
1,Deaths,51,Poland,3,Both,22,All ages,294,All causes,1,Number,2019,409358.41838270274,411997.07819295273,406632.187039003
1,Deaths,51,Poland,3,Both,22,All ages,294,All causes,1,Number,2020,476676.2710316022,479729.6568451897,473638.960379791
4,YLLs (Years of Life Lost),51,Poland,3,Both,22,All ages,294,All causes,1,Number,2011,8186089.518307127,8236253.497584683,8135601.8668692075
4,YLLs (Years of Life Lost),51,Poland,3,Both,22,All ages,294,All causes,1,Number,2016,8015711.947749303,8072959.0022148425,7962087.134718407
4,YLLs (Years of Life Lost),51,Poland,3,Both,22,All ages,294,All causes,1,Number,2014,7904678.2997036185,7960648.54944099,7852134.7231408395
4,YLLs (Years of Life Lost),51,Poland,3,Both,22,All ages,294,All causes,1,Number,2012,8231538.793749883,8283522.781731578,8183212.515220108
4,YLLs (Years of Life Lost),51,Poland,3,Both,22,All ages,294,All causes,1,Number,2015,8056010.777992924,8111058.036924321,8003727.570535267
4,YLLs (Years of Life Lost),51,Poland,3,Both,22,All ages,294,All causes,1,Number,2013,8122936.252721762,8171276.667742201,8074260.136622296
4,YLLs (Years of Life Lost),51,Poland,3,Both,22,All ages,294,All causes,1,Number,2018,8303771.307384904,8357693.002083313,8250461.610007016
4,YLLs (Years of Life Lost),51,Poland,3,Both,22,All ages,294,All causes,1,Number,2017,8128787.112470148,8184356.061020779,8071199.117683133
4,YLLs (Years of Life Lost),51,Poland,3,Both,22,All ages,294,All causes,1,Number,2019,8220262.888142336,8275097.748405381,8161268.324062811
4,YLLs (Years of Life Lost),51,Poland,3,Both,22,All ages,294,All causes,1,Number,2020,9387640.443419036,9447666.64687989,9326259.982410176
