measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,4749,England,3,Both,22,All ages,294,All causes,1,Number,2010,458448.68581652135,460321.25053127605,456616.4102225746
1,Deaths,4636,Wales,3,Both,22,All ages,294,All causes,1,Number,2012,31913.401422005136,32260.387779996083,31540.388878459813
1,Deaths,4749,England,3,Both,22,All ages,294,All causes,1,Number,2011,460251.7764338783,462024.38824383536,458471.9122099179
1,Deaths,4749,England,3,Both,22,All ages,294,All causes,1,Number,2012,468394.9900232344,470299.56498584617,466525.67134631757
1,Deaths,4636,Wales,3,Both,22,All ages,294,All causes,1,Number,2011,31321.32322940858,31664.46214067061,30977.680470767435
1,Deaths,4636,Wales,3,Both,22,All ages,294,All causes,1,Number,2015,32391.484967800545,32803.58716536626,31998.50625014836
1,Deaths,4636,Wales,3,Both,22,All ages,294,All causes,1,Number,2010,31145.994290647923,31501.829935973623,30783.44337698534
1,Deaths,4749,England,3,Both,22,All ages,294,All causes,1,Number,2015,484071.6552426975,485998.39077146386,482228.90083804296
1,Deaths,4636,Wales,3,Both,22,All ages,294,All causes,1,Number,2019,34229.971399222944,35011.50286822337,33436.38339484243
1,Deaths,4749,England,3,Both,22,All ages,294,All causes,1,Number,2019,509267.3921146821,513814.1816290161,504767.1592878485
1,Deaths,4636,Wales,3,Both,22,All ages,294,All causes,1,Number,2013,32370.93553787845,32740.722758917786,31993.310421069258
1,Deaths,4749,England,3,Both,22,All ages,294,All causes,1,Number,2013,475193.0199341664,476987.2718821803,473250.03816409234
1,Deaths,4636,Wales,3,Both,22,All ages,294,All causes,1,Number,2014,32068.540459244014,32430.32980848541,31678.678232518316
1,Deaths,4749,England,3,Both,22,All ages,294,All causes,1,Number,2014,476474.60209047183,478357.8775258617,474592.7253858921
1,Deaths,4749,England,3,Both,22,All ages,294,All causes,1,Number,2017,488479.13186183333,491576.2348130978,485554.67519802786
1,Deaths,4636,Wales,3,Both,22,All ages,294,All causes,1,Number,2016,32394.75533389209,32826.0073883637,31972.415155494204
1,Deaths,4749,England,3,Both,22,All ages,294,All causes,1,Number,2016,485151.011319154,487503.864257471,482995.6026826221
1,Deaths,4636,Wales,3,Both,22,All ages,294,All causes,1,Number,2017,32642.631142667975,33129.92682580962,32162.703063196233
1,Deaths,4749,England,3,Both,22,All ages,294,All causes,1,Number,2018,501729.2865037578,505651.5541455082,497888.57677531027
1,Deaths,4636,Wales,3,Both,22,All ages,294,All causes,1,Number,2018,33442.350918503966,34114.76785180033,32825.46166992188
4,YLLs (Years of Life Lost),4636,Wales,3,Both,22,All ages,294,All causes,1,Number,2011,520144.40178096894,526588.7835154353,513767.5658078051
4,YLLs (Years of Life Lost),4636,Wales,3,Both,22,All ages,294,All causes,1,Number,2012,523135.543817585,529648.8160639674,516515.1878683246
4,YLLs (Years of Life Lost),4749,England,3,Both,22,All ages,294,All causes,1,Number,2010,7719980.232037602,7753874.953748562,7686628.475141527
4,YLLs (Years of Life Lost),4749,England,3,Both,22,All ages,294,All causes,1,Number,2011,7628533.123116576,7661346.049820921,7596574.550257515
4,YLLs (Years of Life Lost),4749,England,3,Both,22,All ages,294,All causes,1,Number,2012,7628914.162704941,7663172.946283297,7595397.1151797585
4,YLLs (Years of Life Lost),4636,Wales,3,Both,22,All ages,294,All causes,1,Number,2010,522799.95263766777,529478.0391971057,515939.0221755309
4,YLLs (Years of Life Lost),4636,Wales,3,Both,22,All ages,294,All causes,1,Number,2013,526561.7307846642,533094.6218105685,519888.9273734346
4,YLLs (Years of Life Lost),4636,Wales,3,Both,22,All ages,294,All causes,1,Number,2014,520242.9185217751,526852.9290792298,513354.2615443353
4,YLLs (Years of Life Lost),4749,England,3,Both,22,All ages,294,All causes,1,Number,2013,7687406.334431659,7719663.683962492,7652239.831205474
4,YLLs (Years of Life Lost),4749,England,3,Both,22,All ages,294,All causes,1,Number,2014,7697968.51262108,7731723.542628891,7664864.614044835
4,YLLs (Years of Life Lost),4636,Wales,3,Both,22,All ages,294,All causes,1,Number,2015,527270.4273998794,534730.8430073773,520183.3777177478
4,YLLs (Years of Life Lost),4749,England,3,Both,22,All ages,294,All causes,1,Number,2016,7880632.517348716,7924510.399278574,7839660.019088197
4,YLLs (Years of Life Lost),4636,Wales,3,Both,22,All ages,294,All causes,1,Number,2017,534709.5100351234,543336.7196125066,525693.2376117158
4,YLLs (Years of Life Lost),4749,England,3,Both,22,All ages,294,All causes,1,Number,2017,7932211.609604609,7991639.686964736,7874617.589499771
4,YLLs (Years of Life Lost),4636,Wales,3,Both,22,All ages,294,All causes,1,Number,2018,544633.7360216398,556617.8371820375,533260.3553922427
4,YLLs (Years of Life Lost),4636,Wales,3,Both,22,All ages,294,All causes,1,Number,2016,529657.348410483,537531.0200190751,522034.1626159142
4,YLLs (Years of Life Lost),4749,England,3,Both,22,All ages,294,All causes,1,Number,2015,7819259.894708842,7853124.953762518,7785426.303931039
4,YLLs (Years of Life Lost),4749,England,3,Both,22,All ages,294,All causes,1,Number,2018,8105177.096781182,8181969.298746527,8033240.967843451
4,YLLs (Years of Life Lost),4636,Wales,3,Both,22,All ages,294,All causes,1,Number,2019,553138.1415351159,566263.0546143955,538390.4804317824
4,YLLs (Years of Life Lost),4749,England,3,Both,22,All ages,294,All causes,1,Number,2019,8193985.947315839,8278719.717971193,8111726.9174850825
