measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,4636,Wales,3,Both,8,15-19 years,294,All causes,1,Number,2019,46.94802485819312,48.59385720480049,45.23050034751686
1,Deaths,4636,Wales,3,Both,37,20+ years,294,All causes,1,Number,2019,34031.2762530451,34823.95549063159,33236.40089151584
1,Deaths,4749,England,3,Both,8,15-19 years,294,All causes,1,Number,2019,714.0050150929368,722.3112696427256,705.9831055597975
1,Deaths,4749,England,3,Both,37,20+ years,294,All causes,1,Number,2019,505239.9717061425,509756.3320402474,500739.98068569275
1,Deaths,4636,Wales,3,Both,8,15-19 years,294,All causes,1,Number,2014,46.70750544026675,47.569344798789075,45.86646300531459
1,Deaths,4636,Wales,3,Both,37,20+ years,294,All causes,1,Number,2014,31853.707135107383,32212.249992939116,31466.66094529991
1,Deaths,4749,England,3,Both,8,15-19 years,294,All causes,1,Number,2014,759.7503758136353,763.6141544095887,755.7719985559569
1,Deaths,4749,England,3,Both,37,20+ years,294,All causes,1,Number,2014,472180.2938719411,474073.3653915595,470296.835808784
4,YLLs (Years of Life Lost),4636,Wales,3,Both,8,15-19 years,294,All causes,1,Number,2019,3348.7980360348033,3466.2023043818863,3226.2863272912223
4,YLLs (Years of Life Lost),4636,Wales,3,Both,37,20+ years,294,All causes,1,Number,2019,536666.3446228409,550297.986853029,522241.3057168198
4,YLLs (Years of Life Lost),4636,Wales,3,Both,8,15-19 years,294,All causes,1,Number,2014,3332.955147668955,3394.4634702373774,3272.949760825157
4,YLLs (Years of Life Lost),4636,Wales,3,Both,37,20+ years,294,All causes,1,Number,2014,502300.62666540954,508558.45295700576,495510.8038339265
4,YLLs (Years of Life Lost),4749,England,3,Both,8,15-19 years,294,All causes,1,Number,2014,54207.40830615131,54482.87885072849,53924.025144880026
4,YLLs (Years of Life Lost),4749,England,3,Both,37,20+ years,294,All causes,1,Number,2014,7336679.2257913565,7370566.70468766,7303467.479854896
4,YLLs (Years of Life Lost),4749,England,3,Both,8,15-19 years,294,All causes,1,Number,2019,50929.94580358681,51522.25695253887,50357.646473843975
4,YLLs (Years of Life Lost),4749,England,3,Both,37,20+ years,294,All causes,1,Number,2019,7855483.498694933,7937991.169420255,7775550.004373726
