measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,68,South Korea,3,Both,11,30-34 years,294,All causes,1,Number,2019,1992.4237477152633,2065.7582389797176,1922.4536521549805
1,Deaths,68,South Korea,3,Both,12,35-39 years,294,All causes,1,Number,2019,3247.433270289081,3378.9961172385024,3122.104690470222
1,Deaths,68,South Korea,3,Both,13,40-44 years,294,All causes,1,Number,2019,4916.774227377687,5133.150025736184,4710.1540149710245
1,Deaths,68,South Korea,3,Both,14,45-49 years,294,All causes,1,Number,2019,8467.129739739015,8874.120287835258,8080.0213740684485
1,Deaths,68,South Korea,3,Both,15,50-54 years,294,All causes,1,Number,2019,12204.191058933871,12801.155912065868,11636.189952565144
1,Deaths,68,South Korea,3,Both,228,55+ years,294,All causes,1,Number,2019,282844.46302832983,292770.8236269829,273363.7814251005
1,Deaths,68,South Korea,3,Both,11,30-34 years,294,All causes,1,Number,2014,2553.8298076031865,2569.4192698006254,2539.543724600596
1,Deaths,68,South Korea,3,Both,12,35-39 years,294,All causes,1,Number,2014,3402.744037605102,3423.8066560207053,3382.1175770549426
1,Deaths,68,South Korea,3,Both,13,40-44 years,294,All causes,1,Number,2014,5934.281740484608,5972.769156455501,5896.115912815323
1,Deaths,68,South Korea,3,Both,14,45-49 years,294,All causes,1,Number,2014,8838.05077125936,8900.564433886018,8776.128333957116
1,Deaths,68,South Korea,3,Both,15,50-54 years,294,All causes,1,Number,2014,13542.926967460648,13641.2516054452,13444.131624743079
1,Deaths,68,South Korea,3,Both,228,55+ years,294,All causes,1,Number,2014,227283.63380568402,228545.87626526432,226091.99836188275
4,YLLs (Years of Life Lost),68,South Korea,3,Both,11,30-34 years,294,All causes,1,Number,2019,112815.31708994403,116967.5822897488,108853.5443687734
4,YLLs (Years of Life Lost),68,South Korea,3,Both,12,35-39 years,294,All causes,1,Number,2019,167655.55312772986,174448.35464326196,161184.65404938906
4,YLLs (Years of Life Lost),68,South Korea,3,Both,13,40-44 years,294,All causes,1,Number,2019,229684.81952263636,239793.04041920198,220032.34440223765
4,YLLs (Years of Life Lost),68,South Korea,3,Both,14,45-49 years,294,All causes,1,Number,2019,354560.6024446632,371603.4045683832,338350.37213274324
4,YLLs (Years of Life Lost),68,South Korea,3,Both,15,50-54 years,294,All causes,1,Number,2019,453243.3626829175,475413.6172441324,432148.7638680754
4,YLLs (Years of Life Lost),68,South Korea,3,Both,228,55+ years,294,All causes,1,Number,2019,4320500.041070532,4487817.799508686,4160950.9671475682
4,YLLs (Years of Life Lost),68,South Korea,3,Both,11,30-34 years,294,All causes,1,Number,2014,144561.57279744695,145444.02673686706,143752.89767672395
4,YLLs (Years of Life Lost),68,South Korea,3,Both,12,35-39 years,294,All causes,1,Number,2014,175709.65200744633,176797.33989473755,174644.7330083341
4,YLLs (Years of Life Lost),68,South Korea,3,Both,13,40-44 years,294,All causes,1,Number,2014,277197.20927955,278995.0486282213,275414.6956296585
4,YLLs (Years of Life Lost),68,South Korea,3,Both,14,45-49 years,294,All causes,1,Number,2014,369946.5533933796,372561.72267812723,367354.9658893353
4,YLLs (Years of Life Lost),68,South Korea,3,Both,15,50-54 years,294,All causes,1,Number,2014,503119.8509902218,506772.65867418115,499449.74391980626
4,YLLs (Years of Life Lost),68,South Korea,3,Both,228,55+ years,294,All causes,1,Number,2014,3601558.041733975,3622691.411488531,3580810.8429583255
